BNF_CODE,CHEMICAL_SUBSTANCE_BNF_DESCR,BNF_DESCRIPTION,BNF_CHAPTER_PLUS_CODE
040702040BDACAH,Tramadol hydrochloride,Zamadol SR 100mg capsules,04: Central Nervous System
040702040BNADAE,Tramadol hydrochloride,Marol 200mg modified-release tablets (Teva),04: Central Nervous System
040702040BNAFAC,Tramadol hydrochloride,Marol 100mg modified-release tablets (Teva),04: Central Nervous System
0407020A0BEAEAH,Fentanyl,Matrifen 100micrograms/hour transdermal patches,04: Central Nervous System
0407020ADAAAAAA,Oxycodone hydrochloride,Oxycodone 5mg/5ml oral solution sugar free,04: Central Nervous System
0407020ADAAAKAK,Oxycodone hydrochloride,Oxycodone 5mg modified-release tablets,04: Central Nervous System
0407020B0AAAHAH,Buprenorphine,Buprenorphine 5micrograms/hour transdermal patches,04: Central Nervous System
0407020B0BHADAK,Buprenorphine,Butec 15micrograms/hour transdermal patches,04: Central Nervous System
0407020B0BMABAI,Buprenorphine,Sevodyne 10micrograms/hour transdermal patches,04: Central Nervous System
0407020C0AAADAD,Codeine phosphate,Codeine 15mg tablets,04: Central Nervous System
0407020C0AAAEAE,Codeine phosphate,Codeine 30mg tablets,04: Central Nervous System
0407020Q0AAABAB,Morphine sulfate,Morphine sulfate 10mg/1ml solution for injection ampoules,04: Central Nervous System
0407020Q0AAAKAK,Morphine sulfate,Morphine 10mg modified-release tablets,04: Central Nervous System
0407020Q0AACGCG,Morphine sulfate,Morphine 5mg modified-release tablets,04: Central Nervous System
0407020Q0AAEFEF,Morphine sulfate,Morphine 10mg modified-release capsules,04: Central Nervous System
0407020Q0BCAGCN,Morphine sulfate,Oramorph 10mg/5ml oral solution,04: Central Nervous System
0407041M0AAAAAA,Naratriptan hydrochloride,Naratriptan 2.5mg tablets,04: Central Nervous System
0407041T0AAACAC,Sumatriptan succinate,Sumatriptan 100mg tablets,04: Central Nervous System
0407041T0AAAFAF,Sumatriptan succinate,Sumatriptan 50mg tablets,04: Central Nervous System
0407041Z0AAAAAA,Zolmitriptan,Zolmitriptan 2.5mg tablets,04: Central Nervous System
0407042F0AAAAAA,Clonidine hydrochloride,Clonidine 25microgram tablets,04: Central Nervous System
0407042Q0AAABAB,Pizotifen malate,Pizotifen 500microgram tablets,04: Central Nervous System
040801050AAADAD,Topiramate,Topiramate 25mg tablets,04: Central Nervous System
040801060AABTBT,Clobazam,Clobazam 10mg tablets,04: Central Nervous System
0408010A0AAAAAA,Levetiracetam,Levetiracetam 250mg tablets,04: Central Nervous System
0408010A0AAABAB,Levetiracetam,Levetiracetam 500mg tablets,04: Central Nervous System
0408010A0AAACAC,Levetiracetam,Levetiracetam 1g tablets,04: Central Nervous System
0408010A0BBADAH,Levetiracetam,Keppra 100mg/ml oral solution,04: Central Nervous System
0408010AEAAAAAA,Pregabalin,Pregabalin 25mg capsules,04: Central Nervous System
0408010AEAAABAB,Pregabalin,Pregabalin 50mg capsules,04: Central Nervous System
0408010AEAAACAC,Pregabalin,Pregabalin 75mg capsules,04: Central Nervous System
0408010AEAAADAD,Pregabalin,Pregabalin 100mg capsules,04: Central Nervous System
0408010AEAAAEAE,Pregabalin,Pregabalin 150mg capsules,04: Central Nervous System
0408010AEAAAGAG,Pregabalin,Pregabalin 300mg capsules,04: Central Nervous System
0408010AEAAAVAV,Pregabalin,Pregabalin 200mg tablets,04: Central Nervous System
0408010ALBBAEAE,Brivaracetam,Briviact 100mg tablets,04: Central Nervous System
0408010C0AAABAB,Carbamazepine,Carbamazepine 100mg tablets,04: Central Nervous System
0408010C0AAADAD,Carbamazepine,Carbamazepine 400mg tablets,04: Central Nervous System
0408010C0AAAPAP,Carbamazepine,Carbamazepine 100mg/5ml oral suspension sugar free,04: Central Nervous System
0408010C0BBAFAH,Carbamazepine,Tegretol Prolonged Release 400mg tablets,04: Central Nervous System
0408010F0AAABAB,Clonazepam,Clonazepam 500microgram tablets,04: Central Nervous System
0408010G0AAABAB,Gabapentin,Gabapentin 300mg capsules,04: Central Nervous System
0408010G0AAAJAJ,Gabapentin,Gabapentin 600mg tablets,04: Central Nervous System
0408010H0AAA1A1,Lamotrigine,Lamotrigine 200mg tablets,04: Central Nervous System
0408010H0AAAAAA,Lamotrigine,Lamotrigine 100mg tablets,04: Central Nervous System
0408010H0AAABAB,Lamotrigine,Lamotrigine 50mg tablets,04: Central Nervous System
0408010H0BBAAAB,Lamotrigine,Lamictal 50mg tablets,04: Central Nervous System
0408010H0BBACAC,Lamotrigine,Lamictal 25mg tablets,04: Central Nervous System
0408010Q0AAAAAA,Phenytoin sodium,Phenytoin sodium 100mg capsules,04: Central Nervous System
0408010Q0AAAPAP,Phenytoin sodium,Phenytoin sodium 50mg capsules,04: Central Nervous System
0408010W0AAA1A1,Sodium valproate,Sodium valproate 300mg modified-release tablets,04: Central Nervous System
0408010W0AAAAAA,Sodium valproate,Sodium valproate 200mg/5ml oral solution sugar free,04: Central Nervous System
0408010W0AAACAC,Sodium valproate,Sodium valproate 200mg gastro-resistant tablets,04: Central Nervous System
0408010W0AAADAD,Sodium valproate,Sodium valproate 500mg gastro-resistant tablets,04: Central Nervous System
0408010W0AAAZAZ,Sodium valproate,Sodium valproate 200mg modified-release tablets,04: Central Nervous System
0409010ABAAAAAA,Opicapone,Opicapone 50mg capsules,04: Central Nervous System
0409010K0AAAJAJ,Co-beneldopa (Benserazide/levodopa),Co-beneldopa 25mg/100mg capsules,04: Central Nervous System
0409010K0BBAKAJ,Co-beneldopa (Benserazide/levodopa),Madopar 100mg/25mg capsules,04: Central Nervous System
0409010N0AAABAB,Co-careldopa (Carbidopa/levodopa),Co-careldopa 25mg/100mg tablets,04: Central Nervous System
0409010N0AAADAD,Co-careldopa (Carbidopa/levodopa),Co-careldopa 12.5mg/50mg tablets,04: Central Nervous System
0409010W0AAAAAA,Pramipexole,Pramipexole 700microgram tablets,04: Central Nervous System
0409010W0AAACAC,Pramipexole,Pramipexole 88microgram tablets,04: Central Nervous System
0409010W0AAAEAE,Pramipexole,Pramipexole 260microgram modified-release tablets,04: Central Nervous System
0409010W0AAAGAG,Pramipexole,Pramipexole 1.05mg modified-release tablets,04: Central Nervous System
0409010X0AAAAAA,Levodopa/carbidopa/entacapone,Levodopa 50mg / Carbidopa 12.5mg / Entacapone 200mg tablets,04: Central Nervous System
0409010Y0AAAAAA,Rasagiline mesilate,Rasagiline 1mg tablets,04: Central Nervous System
0409010Z0AAADAD,Rotigotine,Rotigotine 8mg/24hours transdermal patches,04: Central Nervous System
0409020C0AAADAD,Trihexyphenidyl hydrochloride,Trihexyphenidyl 2mg tablets,04: Central Nervous System
0410010A0AAAAAA,Acamprosate calcium,Acamprosate 333mg gastro-resistant tablets,04: Central Nervous System
0410020B0AAATAT,Nicotine,Nicotine 10mg/16hours transdermal patches,04: Central Nervous System
0410020B0AABWBW,Nicotine,Nicotine 1mg/dose oromucosal spray sugar free,04: Central Nervous System
0410030E0AAAAAA,Naltrexone hydrochloride,Naltrexone 50mg tablets,04: Central Nervous System
0411000F0AAADAD,Galantamine,Galantamine 20mg/5ml oral solution sugar free,04: Central Nervous System
0411000F0AAAEAE,Galantamine,Galantamine 8mg modified-release capsules,04: Central Nervous System
0411000G0AAAAAA,Memantine hydrochloride,Memantine 10mg tablets,04: Central Nervous System
0411000G0AAADAD,Memantine hydrochloride,Memantine 20mg tablets,04: Central Nervous System
0501011P0AAADAD,Phenoxymethylpenicillin (Penicillin V),Phenoxymethylpenicillin 125mg/5ml oral solution,05: Infections
0501011P0AAAFAF,Phenoxymethylpenicillin (Penicillin V),Phenoxymethylpenicillin 250mg/5ml oral solution,05: Infections
0501011P0AAAJAJ,Phenoxymethylpenicillin (Penicillin V),Phenoxymethylpenicillin 250mg tablets,05: Infections
0501013B0AAABAB,Amoxicillin,Amoxicillin 500mg capsules,05: Infections
0501013B0AAAJAJ,Amoxicillin,Amoxicillin 125mg/5ml oral suspension,05: Infections
0501013B0AAAKAK,Amoxicillin,Amoxicillin 250mg/5ml oral suspension,05: Infections
0501013B0AAASAS,Amoxicillin,Amoxicillin 125mg/5ml oral suspension sugar free,05: Infections
0501013B0AAATAT,Amoxicillin,Amoxicillin 250mg/5ml oral suspension sugar free,05: Infections
0501013K0AAAJAJ,Co-amoxiclav (Amoxicillin/clavulanic acid),Co-amoxiclav 500mg/125mg tablets,05: Infections
0501021L0AAAAAA,Cefalexin,Cefalexin 250mg capsules,05: Infections
0501021L0AAABAB,Cefalexin,Cefalexin 500mg capsules,05: Infections
0501021L0AAAHAH,Cefalexin,Cefalexin 500mg tablets,05: Infections
0501030L0AAABAB,Lymecycline,Lymecycline 408mg capsules,05: Infections
0501030T0AAAJAJ,Oxytetracycline,Oxytetracycline 250mg tablets,05: Infections
0501050A0AAAAAA,Azithromycin,Azithromycin 250mg capsules,05: Infections
0501050B0AAABAB,Clarithromycin,Clarithromycin 125mg/5ml oral suspension,05: Infections
0501050B0AAADAD,Clarithromycin,Clarithromycin 500mg tablets,05: Infections
0501080W0AAADAD,Trimethoprim,Trimethoprim 100mg tablets,05: Infections
0501080W0AAAEAE,Trimethoprim,Trimethoprim 200mg tablets,05: Infections
0501080W0AAAIAI,Trimethoprim,Trimethoprim 50mg/5ml oral suspension sugar free,05: Infections
0501110C0AAAJAJ,Metronidazole,Metronidazole 400mg tablets,05: Infections
0501130R0AAABAB,Nitrofurantoin,Nitrofurantoin 100mg capsules,05: Infections
0501130R0AAAEAE,Nitrofurantoin,Nitrofurantoin 100mg tablets,05: Infections
0501130R0AAAGAG,Nitrofurantoin,Nitrofurantoin 100mg modified-release capsules,05: Infections
0502010C0AAAAAA,Itraconazole,Itraconazole 100mg capsules,05: Infections
0502030B0AAABAB,Nystatin,"Nystatin 100,000units/ml oral suspension",05: Infections
0502050C0AAAAAA,Terbinafine hydrochloride,Terbinafine 250mg tablets,05: Infections
0504010Y0AAAFAF,Quinine sulfate,Quinine sulfate 200mg tablets,05: Infections
0504010Y0AAAHAH,Quinine sulfate,Quinine sulfate 300mg tablets,05: Infections
0601011A0BBAAAA,Insulin aspart,NovoRapid 100units/ml solution for injection 10ml vials,06: Endocrine System
0601011A0BBABAB,Insulin aspart,NovoRapid Penfill 100units/ml inj 3ml cartridges,06: Endocrine System
0601011A0BBADAC,Insulin aspart,NovoRapid FlexPen 100units/ml inj 3ml pre-filled pens,06: Endocrine System
0601011L0BBACAC,Insulin Lispro,Humalog 100units/ml solution for injection 3ml cartridges,06: Endocrine System
0601011L0BDABAB,Insulin Lispro,Lyumjev 100units/ml solution for injection 10ml vials,06: Endocrine System
0601011N0BCAEAC,Soluble insulin (Neutral insulin),Hypurin Porcine Neutral 100units/ml inj 10ml vials,06: Endocrine System
0601012S0BCAEAB,Isophane insulin,Hypurin Porcine Isophane 100units/ml inj 10ml vials,06: Endocrine System
0601012V0BBAAAA,Insulin glargine,Lantus 100units/ml solution for injection 3ml cartridges,06: Endocrine System
0601012V0BBAEAD,Insulin glargine,Lantus 100units/ml inj 3ml pre-filled SoloStar pens,06: Endocrine System
0601012V0BCAAAE,Insulin glargine,Toujeo 300units/ml inj 1.5ml pre-filled SoloStar pens,06: Endocrine System
0601012V0BDACAD,Insulin glargine,Abasaglar KwikPen 100units/ml inj 3ml pre-filled pens,06: Endocrine System
0601012W0BBABAB,Biphasic insulin aspart,NovoMix 30 FlexPen 100units/ml inj 3ml pre-filled pens,06: Endocrine System
0601012X0BBABAB,Insulin detemir,Levemir FlexPen 100units/ml inj 3ml pre-filled pens,06: Endocrine System
0601021A0AAAAAA,Glimepiride,Glimepiride 2mg tablets,06: Endocrine System
0601021A0AAABAB,Glimepiride,Glimepiride 1mg tablets,06: Endocrine System
0601021M0AAAAAA,Gliclazide,Gliclazide 80mg tablets,06: Endocrine System
0601021M0AAARAR,Gliclazide,Gliclazide 40mg tablets,06: Endocrine System
0601021M0AAATAT,Gliclazide,Gliclazide 60mg modified-release tablets,06: Endocrine System
0601022B0AAABAB,Metformin hydrochloride,Metformin 500mg tablets,06: Endocrine System
0601022B0AAADAD,Metformin hydrochloride,Metformin 850mg tablets,06: Endocrine System
0601022B0AAARAR,Metformin hydrochloride,Metformin 500mg/5ml oral solution sugar free,06: Endocrine System
0601022B0AAASAS,Metformin hydrochloride,Metformin 500mg modified-release tablets,06: Endocrine System
0601022B0AAAVAV,Metformin hydrochloride,Metformin 1g modified-release tablets,06: Endocrine System
0601022B0BBAEAV,Metformin hydrochloride,Glucophage SR 1000mg tablets,06: Endocrine System
0601022B0BMAAAV,Metformin hydrochloride,Sukkarto SR 1000mg tablets,06: Endocrine System
0601022B0BMABAS,Metformin hydrochloride,Sukkarto SR 500mg tablets,06: Endocrine System
0601023ABBBAAAA,Liraglutide,Victoza 6mg/ml solution for injection 3ml pre-filled pens,06: Endocrine System
0601023ACAAAAAA,Saxagliptin,Saxagliptin 5mg tablets,06: Endocrine System
0601023AEAAAAAA,Linagliptin,Linagliptin 5mg tablets,06: Endocrine System
0601023AJAAAAAA,Alogliptin/metformin,Alogliptin 12.5mg / Metformin 1g tablets,06: Endocrine System
0601023AKAAAAAA,Alogliptin,Alogliptin 6.25mg tablets,06: Endocrine System
0601023AKAAABAB,Alogliptin,Alogliptin 12.5mg tablets,06: Endocrine System
0601023AKAAACAC,Alogliptin,Alogliptin 25mg tablets,06: Endocrine System
0601023AMAAAAAA,Canagliflozin,Canagliflozin 100mg tablets,06: Endocrine System
0601023AMAAABAB,Canagliflozin,Canagliflozin 300mg tablets,06: Endocrine System
0601023AQBBABAB,Dulaglutide,Trulicity 1.5mg/0.5ml solution for injection pre-filled pens,06: Endocrine System
0601023AWAAABAB,Semaglutide,Semaglutide 0.5mg/0.37ml inj 1.5ml pf dispos dev,06: Endocrine System
0601023AWAAACAC,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,06: Endocrine System
0601023AWAAAEAE,Semaglutide,Semaglutide 3mg tablets,06: Endocrine System
0601023AWAAAFAF,Semaglutide,Semaglutide 7mg tablets,06: Endocrine System
0601023AWBBACAC,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,06: Endocrine System
0601023B0AAAAAA,Pioglitazone hydrochloride,Pioglitazone 15mg tablets,06: Endocrine System
0601023B0AAABAB,Pioglitazone hydrochloride,Pioglitazone 30mg tablets,06: Endocrine System
0601023B0AAACAC,Pioglitazone hydrochloride,Pioglitazone 45mg tablets,06: Endocrine System
0601023X0AAAAAA,Sitagliptin,Sitagliptin 100mg tablets,06: Endocrine System
0601060D0CCAAA0,Glucose blood testing reagents,Aviva testing strips,06: Endocrine System
0601060D0DQAAA0,Glucose blood testing reagents,TEE2 testing strips,06: Endocrine System
0601060D0EWAAA0,Glucose blood testing reagents,Instant testing strips,06: Endocrine System
0601060W0BFAAA0,Ketone blood testing reagents,KetoSens testing strips,06: Endocrine System
0602010V0AABWBW,Levothyroxine sodium,Levothyroxine sodium 25microgram tablets,06: Endocrine System
0602010V0AABXBX,Levothyroxine sodium,Levothyroxine sodium 50microgram tablets,06: Endocrine System
0602010V0AABYBY,Levothyroxine sodium,Levothyroxine sodium 75microgram tablets,06: Endocrine System
0602010V0AABZBZ,Levothyroxine sodium,Levothyroxine sodium 100microgram tablets,06: Endocrine System
0602010V0AAGHGH,Levothyroxine sodium,Levothyroxine sodium 12.5microgram tablets,06: Endocrine System
0602020D0AAAAAA,Carbimazole,Carbimazole 5mg tablets,06: Endocrine System
0603020J0AAADAD,Hydrocortisone,Hydrocortisone 10mg tablets,06: Endocrine System
0603020T0AAAAAA,Prednisolone,Prednisolone 1mg tablets,06: Endocrine System
0603020T0AAACAC,Prednisolone,Prednisolone 5mg tablets,06: Endocrine System
0603020T0AAAFAF,Prednisolone,Prednisolone 2.5mg gastro-resistant tablets,06: Endocrine System
0603020T0AAAGAG,Prednisolone,Prednisolone 5mg gastro-resistant tablets,06: Endocrine System
0603020T0AABHBH,Prednisolone,Prednisolone 5mg soluble tablets,06: Endocrine System
0604011G0BEABBD,Estradiol,Zumenon 1mg tablets,06: Endocrine System
0604011G0BIABAU,Estradiol,Oestrogel Pump-Pack 0.06% gel,06: Endocrine System
0604011G0BPAABI,Estradiol,Sandrena 500microgram gel sachets,06: Endocrine System
0604011K0BBABAB,Estradiol valerate,Progynova 2mg tablets,06: Endocrine System
0604011L0BIAAAK,Estradiol with progestogen,Kliofem tablets,06: Endocrine System
0604011L0BRAABA,Estradiol with progestogen,Kliovance tablets,06: Endocrine System
0604011L0BUAABH,Estradiol with progestogen,Novofem tablets,06: Endocrine System
0604011Y0AAAAAA,Tibolone,Tibolone 2.5mg tablets,06: Endocrine System
0604012M0AAAEAE,Medroxyprogesterone acetate,Medroxyprogesterone 10mg tablets,06: Endocrine System
0604012P0AAAAAA,Norethisterone,Norethisterone 5mg tablets,06: Endocrine System
0604012S0BDAAAL,Progesterone,Utrogestan 100mg capsules,06: Endocrine System
0604020K0AABKBK,Testosterone,Testosterone 50mg/5g gel unit dose tube,06: Endocrine System
0604020K0AABMBM,Testosterone,Testosterone 2% gel (10mg per actuation),06: Endocrine System
0604020K0AABRBR,Testosterone,Testosterone 20mg/g transdermal gel (23mg per actuation),06: Endocrine System
0604020U0BBABAA,Testosterone esters,Sustanon 250mg/1ml solution for injection ampoules,06: Endocrine System
0605010S0BBAKAF,Somatropin,Genotropin 5.3mg inj cartridges,06: Endocrine System
0606020A0AAACAC,Alendronic acid,Alendronic acid 70mg tablets,06: Endocrine System
0606020R0AAADAD,Risedronate sodium,Risedronate sodium 35mg tablets,06: Endocrine System
0702010F0BCAAAA,Estriol,Ovestin 1mg cream,"07: Obstetrics, Gynaecology and Urinary-Tract Disorders"
0702010G0BCABAG,Estradiol,Vagifem 10microgram vaginal tablets,"07: Obstetrics, Gynaecology and Urinary-Tract Disorders"
0702020F0AAAEAE,Clotrimazole,Clotrimazole 200mg pessaries,"07: Obstetrics, Gynaecology and Urinary-Tract Disorders"
0702020F0AAAFAF,Clotrimazole,Clotrimazole 500mg pessaries,"07: Obstetrics, Gynaecology and Urinary-Tract Disorders"
0702020F0AAAKAK,Clotrimazole,Clotrimazole 500mg pessary and Clotrimazole 2% cream,"07: Obstetrics, Gynaecology and Urinary-Tract Disorders"
0702020F0BBAKAK,Clotrimazole,Canesten Combi 500mg pessary and 2% cream,"07: Obstetrics, Gynaecology and Urinary-Tract Disorders"
0702020F0BBAMAN,Clotrimazole,Canesten Oral & Cream Duo,"07: Obstetrics, Gynaecology and Urinary-Tract Disorders"
0702020X0AAAAAA,Metronidazole,Metronidazole 0.75% vaginal gel,"07: Obstetrics, Gynaecology and Urinary-Tract Disorders"
0703010E0BCAAAB,Combined ethinylestradiol 20mcg,Mercilon 150microgram/20microgram tablets,"07: Obstetrics, Gynaecology and Urinary-Tract Disorders"
0703010E0BJAAAC,Combined ethinylestradiol 20mcg,Millinette 20microgram/75microgram tablets,"07: Obstetrics, Gynaecology and Urinary-Tract Disorders"
0703010F0BBAAAA,Combined ethinylestradiol 30mcg,Marvelon tablets,"07: Obstetrics, Gynaecology and Urinary-Tract Disorders"
0703010F0BEAAAC,Combined ethinylestradiol 30mcg,Microgynon 30 tablets,"07: Obstetrics, Gynaecology and Urinary-Tract Disorders"
0703010F0BEABAH,Combined ethinylestradiol 30mcg,Microgynon 30 ED tablets,"07: Obstetrics, Gynaecology and Urinary-Tract Disorders"
0703010F0BNAAAC,Combined ethinylestradiol 30mcg,Levest 150/30 tablets (Morningside),"07: Obstetrics, Gynaecology and Urinary-Tract Disorders"
